,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
0,1,15,['000'],0,S,0,0,,
1,2,15,['000'],0,A,0,0,,
2,3,14,['001'],1,B,0,0,,
3,4,15,['000'],0,S,0,0,,
4,5,15,['010'],2,A,0,0,,
5,6,15,['000'],0,B,0,0,,
6,7,15,['000'],0,S,0,0,,
7,8,15,['000'],0,A,0,0,,
8,9,13,['001'],1,B,0,0,,
9,10,15,['001'],1,S,0,0,,
10,11,15,['010'],2,A,0,0,,
11,12,15,['010'],2,B,0,0,,
12,13,15,['000'],0,S,0,0,,
13,14,15,['000'],0,A,0,0,,
14,15,15,['010'],2,B,0,0,,
15,16,15,['000'],0,S,0,0,,
16,17,15,['000'],0,A,0,0,,
17,18,15,['110'],6,B,0,0,,
18,19,15,['000'],0,S,0,0,,
19,20,15,['001'],1,A,0,0,,
20,21,15,['000'],0,B,0,0,,
21,22,15,['000'],0,S,0,0,,
22,23,15,['000'],0,A,0,0,,
23,24,15,['010'],2,B,0,0,,
24,25,15,['000'],0,S,0,0,,
25,26,15,['001'],1,A,0,0,,
26,27,15,['010'],2,B,0,0,,
27,28,15,['000'],0,S,0,0,,
28,29,15,['000'],0,A,0,0,,
29,30,15,['000'],0,B,0,0,,
30,31,15,['000'],0,S,0,0,,
31,32,15,['000'],0,A,0,0,,
32,33,14,['010'],2,B,0,0,,
33,34,15,['000'],0,S,0,0,,
34,35,15,['010'],2,A,0,0,,
35,36,15,['000'],0,B,0,0,,
36,37,15,['000'],0,S,0,0,,
37,38,15,['000'],0,A,0,0,,
38,39,15,['010'],2,B,0,0,,
39,40,15,['000'],0,S,0,0,,
40,41,15,['000'],0,A,0,0,,
41,42,15,['010'],2,B,0,0,,
42,43,15,['000'],0,S,0,0,,
43,44,15,['001'],1,A,0,0,,
44,45,15,['000'],0,B,0,0,,
45,46,15,['000'],0,S,0,0,,
46,47,15,['000'],0,A,0,0,,
47,48,15,['001'],1,B,0,0,,
48,49,15,['010'],2,S,0,0,,
49,50,15,['001'],1,A,0,0,,
50,51,15,['001'],1,B,0,0,,
51,52,15,['000'],0,S,0,0,,
52,53,15,['000'],0,A,0,0,,
53,54,15,['000'],0,B,0,0,,
54,55,15,['000'],0,S,0,0,,
55,56,15,['000'],0,A,0,0,,
56,57,15,['010'],2,B,0,0,,
57,58,15,['000'],0,S,0,0,,
58,59,15,['000'],0,A,0,0,,
59,60,15,['010'],2,B,0,0,,
60,61,15,['000'],0,S,0,0,,
61,62,15,['000'],0,A,0,0,,
62,63,15,['010'],2,B,0,0,,
63,64,15,['001'],1,S,0,0,,
64,65,15,['000'],0,A,0,0,,
65,66,15,['010'],2,B,0,0,,
66,67,15,['000'],0,S,0,0,,
67,68,15,['001'],1,A,0,0,,
68,69,15,['000'],0,B,0,0,,
69,70,15,['010'],2,S,0,0,,
70,71,15,['000'],0,A,0,0,,
71,72,15,['010'],2,B,0,0,,
72,73,15,['000'],0,S,0,0,,
73,74,15,['000'],0,A,0,0,,
74,75,15,['010'],2,B,0,0,,
75,76,14,['010'],2,S,0,0,,
76,77,15,['010'],2,A,0,0,,
77,78,15,['000'],0,B,0,0,,
78,79,15,['000'],0,S,0,0,,
79,80,15,['001'],1,A,0,0,,
80,81,15,['000'],0,B,0,0,,
81,82,15,['000'],0,S,0,0,,
82,83,15,['010'],2,A,0,0,,
83,84,15,['010'],2,B,0,0,,
84,85,15,['000'],0,S,0,0,,
85,86,15,['000'],0,A,0,0,,
86,87,15,['010'],2,B,0,0,,
87,88,15,['000'],0,S,0,0,,
88,89,15,['000'],0,A,0,0,,
89,90,15,['001'],1,B,0,0,,
90,91,15,['000'],0,S,0,0,,
91,92,15,['000'],0,A,0,0,,
92,93,15,['010'],2,B,0,0,,
93,94,15,['000'],0,S,0,0,,
94,95,15,['000'],0,A,0,0,,
95,96,15,['010'],2,B,0,0,,
96,97,15,['010'],2,S,0,0,,
97,98,15,['000'],0,A,0,0,,
98,99,15,['010'],2,B,0,0,,
99,100,15,['000'],0,S,0,0,,
100,101,15,['000'],0,A,0,0,,
101,102,14,['010'],2,B,0,0,,
102,103,15,['000'],0,S,0,0,,
103,104,15,['000'],0,A,0,0,,
104,105,15,['000'],0,B,0,0,,
105,106,15,['000'],0,S,0,0,,
106,107,15,['000'],0,A,0,0,,
107,108,15,['001'],1,B,0,0,,
108,109,15,['000'],0,S,0,0,,
109,110,15,['000'],0,A,0,0,,
110,111,15,['000'],0,B,0,0,,
111,112,15,['000'],0,S,0,0,,
112,113,15,['000'],0,A,0,0,,
113,114,15,['010'],2,B,0,0,,
114,115,15,['000'],0,S,0,0,,
115,116,15,['000'],0,A,0,0,,
116,117,15,['010'],2,B,0,0,,
117,118,15,['000'],0,S,0,0,,
118,119,15,['000'],0,A,0,0,,
119,120,15,['000'],0,B,0,0,,
120,121,15,['000'],0,S,0,0,,
121,122,15,['000'],0,A,0,0,,
122,123,15,['010'],2,B,0,0,,
123,124,15,['000'],0,S,0,0,,
124,125,15,['000'],0,A,0,0,,
125,126,15,['000'],0,B,0,0,,
126,127,15,['000'],0,S,0,0,,
127,128,15,['000'],0,A,0,0,,
128,129,14,['010'],2,B,0,0,,
129,130,15,['000'],0,S,0,0,,
130,131,15,['000'],0,A,0,0,,
131,132,15,['000'],0,B,0,0,,
132,133,15,['001'],1,S,0,0,,
133,134,15,['000'],0,A,0,0,,
134,135,15,['010'],2,B,0,0,,
135,136,15,['000'],0,S,0,0,,
136,137,15,['010'],2,A,0,0,,
137,138,14,['010'],2,B,0,0,,
138,139,15,['000'],0,S,0,0,,
139,140,15,['000'],0,A,0,0,,
